State,University,Chapter,Email
ALABAMA,University of South Alabama,Interest Group,christopher.miofsky@dlp.org?subject=University%20of%20South%20Alabama
ALABAMA,University of Arizona,Omega Chapter,omega.chapter@dlp.org
ALABAMA,Sacramento State,Iota Chapter,iota.chapter@dlp.org
ALABAMA,Florida International University,Interest Group,christopher.miofsky@dlp.org?subject=Florida%20International%20University
ALABAMA,University of Louisiana at Lafayette,Gamma Eta Chapter,ull.chapter@dlp.org
NEW YORK,New York University,Beta Xi Chapter,betaxi.chapter@dlp.org
NEW YORK,Bowling Green State University,Interest Group,christopher.miofsky@dlp.org?subject=Bowling%20Green%20State%20University
NEW YORK,University of Houston,Interest Group,christopher.miofsky@dlp.org?subject=University%20of%20Houston
NEW YORK,Virginia Tech,Provisional Chapter,vt.chapter@dlp.org
NEW YORK,University of Washington,Psi Chapter,psi.chapter@dlp.org
NEW YORK,George Washington University,Alpha Chapter,alpha.chapter@dlp.org
