Chapter,Email_Type,Email
Alpha,Basileus,AlphaBasileus@oppf.org
Alpha,KRS,AlphaKRS@oppf.org
Alpha Alpha,Basileus,AlphaAlphaBasileus@oppf.org
Alpha Alpha,KRS,AlphaAlphaKRS@oppf.org
Alpha Alpha Alpha,Basileus,AlphaAlphaAlphaBasileus@oppf.org
Alpha Alpha Alpha,KRS,AlphaAlphaAlphaKRS@oppf.org
Alpha Beta,Basileus,AlphaBetaBasileus@oppf.org
Alpha Beta,KRS,AlphaBetaKRS@oppf.org
Alpha Beta Beta,Basileus,AlphaBetaBetaBasileus@oppf.org
Alpha Beta Beta,KRS,AlphaBetaBetaKRS@oppf.org
Alpha Chi,Basileus,AlphaChiBasileus@oppf.org
Alpha Chi,KRS,AlphaChiKRS@oppf.org
Alpha Delta,Basileus,AlphaDeltaBasileus@oppf.org
Alpha Delta,KRS,AlphaDeltaKRS@oppf.org
Alpha Delta Alpha,Basileus,AlphaDeltaAlphaBasileus@oppf.org
Alpha Delta Alpha,KRS,AlphaDeltaAlphaKRS@oppf.org
Alpha Delta Beta,Basileus,AlphaDeltaBetaBasileus@oppf.org
Alpha Delta Beta,KRS,AlphaDeltaBetaKRS@oppf.org
Alpha Delta Chi,Basileus,AlphaDeltaChiBasileus@oppf.org
Alpha Delta Chi,KRS,AlphaDeltaChiKRS@oppf.org
Alpha Delta Delta,Basileus,AlphaDeltaDeltaBasileus@oppf.org
Alpha Delta Delta,KRS,AlphaDeltaDeltaKRS@oppf.org
Alpha Delta Epsilon,Basileus,AlphaDeltaEpsilonBasileus@oppf.org
Alpha Delta Epsilon,KRS,AlphaDeltaEpsilonKRS@oppf.org
Alpha Delta Eta,Basileus,AlphaDeltaEtaBasileus@oppf.org
Alpha Delta Eta,KRS,AlphaDeltaEtaKRS@oppf.org
Alpha Delta Gamma,Basileus,AlphaDeltaGammaBasileus@oppf.org
Alpha Delta Gamma,KRS,AlphaDeltaGammaKRS@oppf.org
Alpha Delta Iota,Basileus,AlphaDeltaIotaBasileus@oppf.org
Alpha Delta Iota,KRS,AlphaDeltaIotaKRS@oppf.org
Alpha Delta Kappa,Basileus,AlphaDeltaKappaBasileus@oppf.org
Alpha Delta Kappa,KRS,AlphaDeltaKappaKRS@oppf.org
Alpha Delta Lambda,Basileus,AlphaDeltaLambdaBasileus@oppf.org
Alpha Delta Lambda,KRS,AlphaDeltaLambdaKRS@oppf.org
Alpha Delta Mu,Basileus,AlphaDeltaMuBasileus@oppf.org
Alpha Delta Mu,KRS,AlphaDeltaMuKRS@oppf.org
Alpha Delta Nu,Basileus,AlphaDeltaNuBasileus@oppf.org
Alpha Delta Nu,KRS,AlphaDeltaNuKRS@oppf.org
Alpha Delta Omega,Basileus,AlphaDeltaOmegaBasileus@oppf.org
Alpha Delta Omega,KRS,AlphaDeltaOmegaKRS@oppf.org
Alpha Delta Omicron,Basileus,AlphaDeltaOmicronBasileus@oppf.org
Alpha Delta Omicron,KRS,AlphaDeltaOmicronKRS@oppf.org
Alpha Delta Phi,Basileus,AlphaDeltaPhiBasileus@oppf.org
Alpha Delta Phi,KRS,AlphaDeltaPhiKRS@oppf.org
Alpha Delta Pi,Basileus,AlphaDeltaPiBasileus@oppf.org
Alpha Delta Pi,KRS,AlphaDeltaPiKRS@oppf.org
Alpha Delta Psi,Basileus,AlphaDeltaPsiBasileus@oppf.org
Alpha Delta Psi,KRS,AlphaDeltaPsiKRS@oppf.org
Alpha Delta Rho,Basileus,AlphaDeltaRhoBasileus@oppf.org
Alpha Delta Rho,KRS,AlphaDeltaRhoKRS@oppf.org
Alpha Delta Sigma,Basileus,AlphaDeltaSigmaBasileus@oppf.org
Alpha Delta Sigma,KRS,AlphaDeltaSigmaKRS@oppf.org
Alpha Delta Tau,Basileus,AlphaDeltaTauBasileus@oppf.org
Alpha Delta Tau,KRS,AlphaDeltaTauKRS@oppf.org
Alpha Delta Theta,Basileus,AlphaDeltaThetaBasileus@oppf.org
Alpha Delta Theta,KRS,AlphaDeltaThetaKRS@oppf.org
Alpha Delta Upsilon,Basileus,AlphaDeltaUpsilonBasileus@oppf.org
Alpha Delta Upsilon,KRS,AlphaDeltaUpsilonKRS@oppf.org
Alpha Delta Xi,Basileus,AlphaDeltaXiBasileus@oppf.org
Alpha Delta Xi,KRS,AlphaDeltaXiKRS@oppf.org
Alpha Delta Zeta,Basileus,AlphaDeltaZetaBasileus@oppf.org
Alpha Delta Zeta,KRS,AlphaDeltaZetaKRS@oppf.org
Alpha Epsilon,Basileus,AlphaEpsilonBasileus@oppf.org
Alpha Epsilon,KRS,AlphaEpsilonKRS@oppf.org
Alpha Epsilon Alpha,Basileus,AlphaEpsilonAlphaBasileus@oppf.org
Alpha Epsilon Alpha,KRS,AlphaEpsilonAlphaKRS@oppf.org
Alpha Epsilon Beta,Basileus,AlphaEpsilonBetaBasileus@oppf.org
Alpha Epsilon Beta,KRS,AlphaEpsilonBetaKRS@oppf.org
Alpha Epsilon Delta,Basileus,AlphaEpsilonDeltaBasileus@oppf.org
Alpha Epsilon Delta,KRS,AlphaEpsilonDeltaKRS@oppf.org
Alpha Epsilon Epsilon,Basileus,AlphaEpsilonEpsilonBasileus@oppf.org
Alpha Epsilon Epsilon,KRS,AlphaEpsilonEpsilonKRS@oppf.org
Alpha Epsilon Eta,Basileus,AlphaEpsilonEtaBasileus@oppf.org
Alpha Epsilon Eta,KRS,AlphaEpsilonEtaKRS@oppf.org
Alpha Epsilon Gamma,Basileus,AlphaEpsilonGammaBasileus@oppf.org
Alpha Epsilon Gamma,KRS,AlphaEpsilonGammaKRS@oppf.org
Alpha Epsilon Nu,Basileus,AlphaEpsilonNuBasileus@oppf.org
Alpha Epsilon Nu,KRS,AlphaEpsilonNuKRS@oppf.org
Alpha Epsilon Theta,Basileus,AlphaEpsilonThetaBasileus@oppf.org
Alpha Epsilon Theta,KRS,AlphaEpsilonThetaKRS@oppf.org
Alpha Epsilon Zeta,Basileus,AlphaEpsilonZetaBasileus@oppf.org
Alpha Epsilon Zeta,KRS,AlphaEpsilonZetaKRS@oppf.org
Alpha Eta,Basileus,AlphaEtaBasileus@oppf.org
Alpha Eta,KRS,AlphaEtaKRS@oppf.org
Alpha Gamma,Basileus,AlphaGammaBasileus@oppf.org
Alpha Gamma,KRS,AlphaGammaKRS@oppf.org
Alpha Gamma Gamma,Basileus,AlphaGammaGammaBasileus@oppf.org
Alpha Gamma Gamma,KRS,AlphaGammaGammaKRS@oppf.org
Alpha Iota,Basileus,AlphaIotaBasileus@oppf.org
Alpha Iota,KRS,AlphaIotaKRS@oppf.org
Alpha Iota Iota,Basileus,AlphaIotaIotaBasileus@oppf.org
Alpha Iota Iota,KRS,AlphaIotaIotaKRS@oppf.org
Alpha Kappa,Basileus,AlphaKappaBasileus@oppf.org
Alpha Kappa,KRS,AlphaKappaKRS@oppf.org
Alpha Kappa Kappa,Basileus,AlphaKappaKappaBasileus@oppf.org
Alpha Kappa Kappa,KRS,AlphaKappaKappaKRS@oppf.org
Alpha Lambda,Basileus,AlphaLambdaBasileus@oppf.org
Alpha Lambda,KRS,AlphaLambdaKRS@oppf.org
Alpha Lambda Lambda,Basileus,AlphaLambdaLambdaBasileus@oppf.org
Alpha Lambda Lambda,KRS,AlphaLambdaLambdaKRS@oppf.org
Alpha Mu,Basileus,AlphaMuBasileus@oppf.org
Alpha Mu,KRS,AlphaMuKRS@oppf.org
Alpha Mu Mu,Basileus,AlphaMuMuBasileus@oppf.org
Alpha Mu Mu,KRS,AlphaMuMuKRS@oppf.org
Alpha Mu Nu,Basileus,AlphaMuNuBasileus@oppf.org
Alpha Mu Nu,KRS,AlphaMuNuKRS@oppf.org
Alpha Nu,Basileus,AlphaNuBasileus@oppf.org
Alpha Nu,KRS,AlphaNuKRS@oppf.org
Alpha Nu Nu,Basileus,AlphaNuNuBasileus@oppf.org
Alpha Nu Nu,KRS,AlphaNuNuKRS@oppf.org
Alpha Omega,Basileus,AlphaOmegaBasileus@oppf.org
Alpha Omega,KRS,AlphaOmegaKRS@oppf.org
Alpha Omicron,Basileus,AlphaOmicronBasileus@oppf.org
Alpha Omicron,KRS,AlphaOmicronKRS@oppf.org
Alpha Phi,Basileus,AlphaPhiBasileus@oppf.org
Alpha Phi,KRS,AlphaPhiKRS@oppf.org
Alpha Pi,Basileus,AlphaPiBasileus@oppf.org
Alpha Pi,KRS,AlphaPiKRS@oppf.org
Alpha Psi,Basileus,AlphaPsiBasileus@oppf.org
Alpha Psi,KRS,AlphaPsiKRS@oppf.org
Alpha Rho,Basileus,AlphaRhoBasileus@oppf.org
Alpha Rho,KRS,AlphaRhoKRS@oppf.org
Alpha Sigma,Basileus,AlphaSigmaBasileus@oppf.org
Alpha Sigma,KRS,AlphaSigmaKRS@oppf.org
Alpha Tau,Basileus,AlphaTauBasileus@oppf.org
Alpha Tau,KRS,AlphaTauKRS@oppf.org
Alpha Theta,Basileus,AlphaThetaBasileus@oppf.org
Alpha Theta,KRS,AlphaThetaKRS@oppf.org
