Chapter Name,State,Chapter Type,Email
BIRMINGHAM ALUMNAE CHAPTER,Alabama,Alumnae,gammaphibirmingham@gmail.com
HUNTSVILLE ALUMNAE CHAPTER,Alabama,Alumnae,hsvgammaphi@gmail.com
MONTGOMERY ALUMNAE CHAPTER,Alabama,Alumnae,montgomerygphib@gmail.com
EPSILON LAMBDA CHAPTER,Alabama,Collegiate,uagammaphibeta@gmail.com
GAMMA PHI CHAPTER,Alabama,Collegiate,augammaphipresident@gmail.com
PHOENIX ALUMNAE CHAPTER,Arizona,Alumnae,arizonagammaphibeta@gmail.com
TUCSON ALUMNAE CHAPTER,Arizona,Alumnae,gammaphibetatucson@gmail.com
ALPHA EPSILON CHAPTER,Arizona,Collegiate,gammaphibeta@list.arizona.edu
BETA OMEGA CHAPTER,Arizona,Collegiate,gammaphibetabo@gmail.com
ZETA PHI CHAPTER,Arkansas,Collegiate,zetaphigpbpresident@gmail.com
VANCOUVER ALUMNAE CHAPTER,British Columbia,Alumnae,gpbalumpresident@gmail.com
ALPHA LAMBDA CHAPTER,British Columbia,Collegiate,gpbpresident@gmail.com
BALBOA HARBOR ALUMNAE CHAPTER,California,Alumnae,balboa.harbor@gmail.com
DIABLO VALLEY ALUMNAE CHAPTER,California,Alumnae,juliesammon@gmail.com
LA JOLLA ALUMNAE CHAPTER,California,Alumnae,cindalucas@gmail.com
LONG BEACH ALUMNAE CHAPTER,California,Alumnae,lbcrescentalum@yahoo.com
MARIN COUNTY ALUMNAE CHAPTER,California,Alumnae,doreenmalin@comcast.net
GREATER ORANGE COUNTY ALUMNAE CHAPTER,California,Alumnae,goca.gpb@gmail.com
PASADENA ALUMNAE CHAPTER,California,Alumnae,pasadenagphib@gmail.com
SACRAMENTO VALLEY ALUMNAE CHAPTER,California,Alumnae,president@gammaphibetasvac.org
SAN DIEGO ALUMNAE CHAPTER,California,Alumnae,sdgphib@gmail.com
SAN FERNANDO VALLEY ALUMNAE CHAPTER,California,Alumnae,sfvgammaphialum@gmail.com
SAN FRANCISCO ALUMNAE CHAPTER,California,Alumnae,gphibsf@gmail.com
SANTA BARBARA ALUMNAE CHAPTER,California,Alumnae,laspencer684@yahoo.com
SOUTH BAY ALUMNAE CHAPTER,California,Alumnae,LBredhot4usc@aol.com
DELTA DELTA CHAPTER,California,Collegiate,deltadelta.gphipresident@gmail.com
DELTA ETA CHAPTER,California,Collegiate,degphibpresident@gmail.com
DELTA THETA CHAPTER,California,Collegiate,gphibslo@gmail.com
DELTA LAMBDA CHAPTER,California,Collegiate,president.gphib.dl@gmail.com
DELTA PHI CHAPTER,California,Collegiate,president.deltaphichapter@gmail.com
DELTA CHI CHAPTER,California,Collegiate,gammaphisacstate@gmail.com
DELTA PSI CHAPTER,California,Collegiate,ucsb.gammaphi.president@gmail.com
EPSILON GAMMA CHAPTER,California,Collegiate,usdgammaphibeta1@gmail.com
EPSILON KAPPA CHAPTER,California,Collegiate,chicogammaphipresident@gmail.com
EPSILON NU CHAPTER,California,Collegiate,cuenpresident@gmail.com
EPSILON OMICRON CHAPTER,California,Collegiate,eoavp1@gmail.com
ZETA GAMMA CHAPTER,California,Collegiate,presidentzetagamma@gmail.com
ALPHA IOTA CHAPTER,California,Collegiate,gpb.president.ucla@gmail.com
BETA ALPHA CHAPTER,California,Collegiate,betaalphapresident@gmail.com
BETA LAMBDA CHAPTER,California,Collegiate,sdsugammaphibetaprez@gmail.com
ETA CHAPTER,California,Collegiate,cal.gammphi.pres@gmail.com
GAMMA ETA CHAPTER,California,Collegiate,gphib.president.csulb@gmail.com
ZETA THETA CHAPTER,California,Collegiate,gphi.pepperdine.president@gmail.com
ETA CHI CHAPTER,California,Collegiate,Csusmgammaphibeta@gmail.com
DENVER ALUMNAE CHAPTER,Colorado,Alumnae,DenverGPB@gmail.com
TAU CHAPTER,Colorado,Collegiate,gpbtaupresident@gmail.com
BETA RHO CHAPTER,Colorado,Collegiate,cugphipresident@gmail.com
THETA CHAPTER,Colorado,Collegiate,gamma-phi@du.edu
ETA TAU CHAPTER,Colorado,Collegiate,gpbmavcp@gmail.com
ETA THETA CHAPTER,Connecticut,Collegiate,president.gammaphi.etatheta@gmail.com
ETA PI CHAPTER,Connecticut,Collegiate,qugammaphibeta@gmail.com
ETA GAMMA CHAPTER,Delaware,Collegiate,President.etagamma.ud@gmail.com
WASHINGTON D.C. ALUMNAE CHAPTER,District of Columbia,Alumnae,carolescarlson@aol.com
JACKSONVILLE ALUMNAE CHAPTER,Florida,Alumnae,jaxalumgammaphibeta@gmail.com
SOUTH FLORIDA ALUMNAE CHAPTER,Florida,Alumnae,Gammaphibetamiami@gmail.com
TALLAHASSEE ALUMNAE CHAPTER,Florida,Alumnae,
TAMPA BAY ALUMNAE CHAPTER,Florida,Alumnae,gphibtampabay@gmail.com
TREASURE COAST ALUMNAE CHAPTER,Florida,Alumnae,steinruk@hotmail.com
NAPLES ALUMNAE CHAPTER,Florida,Alumnae,joeystiver@gmail.com
GAINESVILLE ALUMNAE CHAPTER,Florida,Alumnae,gpbalumgainesville@gmail.com
SPACE COAST ALUMNAE CHAPTER,Florida,Alumnae,gpbspacecoastalumnae@gmail.com
THE VILLAGES ALUMNAE CHAPTER,Florida,Alumnae,
LAKELAND ALUMNAE CHAPTER,Florida,Alumnae,janet.ruppert@icloud.com
ORLANDO-WINTER PARK AREA ALUMNAE CHAPTER,Florida,Alumnae,orlandogpbalumnae@gmail.com
